feature,coefficient,abs_coefficient,r2
seller_bucket_Mark 38,141.97830041741886,141.97830041741886,0.010083137015115096
buyer_bucket_Mark 38,121.24366369044253,121.24366369044253,0.010083137015115096
symbol_HYDROGEL_PACK,-93.16215395042978,93.16215395042978,0.010083137015115096
symbol_VEV_4000,-87.63332190961043,87.63332190961043,0.010083137015115096
symbol_VEV_6500,76.35283817008818,76.35283817008818,0.010083137015115096
symbol_VEV_6000,76.2514389186477,76.2514389186477,0.010083137015115096
symbol_VEV_4500,-64.13638523633058,64.13638523633058,0.010083137015115096
symbol_VEV_5200,61.14897374801454,61.14897374801454,0.010083137015115096
symbol_VELVETFRUIT_EXTRACT,53.31917215025028,53.31917215025028,0.010083137015115096
buyer_bucket_Mark 14,-46.59952141724322,46.59952141724322,0.010083137015115096
seller_bucket_OTHER_SELLER,-41.828101116765296,41.828101116765296,0.010083137015115096
seller_bucket_Mark 22,-39.29768273163053,39.29768273163053,0.010083137015115096
symbol_VEV_5000,-34.40669568183978,34.40669568183978,0.010083137015115096
buyer_bucket_Mark 67,-32.958548711071806,32.958548711071806,0.010083137015115096
buyer_bucket_Mark 55,-31.014512891558155,31.014512891558155,0.010083137015115096
imbalance_1,27.32571378648076,27.32571378648076,0.010083137015115096
seller_bucket_Mark 55,-25.765683858589043,25.765683858589043,0.010083137015115096
seller_bucket_Mark 14,-25.303317444493345,25.303317444493345,0.010083137015115096
symbol_VEV_5400,23.37600293408676,23.37600293408676,0.010083137015115096
symbol_VEV_5100,-20.703406139043622,20.703406139043622,0.010083137015115096
buyer_bucket_OTHER_BUYER,-12.507007962950288,12.507007962950288,0.010083137015115096
seller_bucket_Mark 01,-9.78351526594079,9.78351526594079,0.010083137015115096
symbol_VEV_5300,8.461341278197136,8.461341278197136,0.010083137015115096
time_bucket_mid,-6.85217946272912,6.85217946272912,0.010083137015115096
time_bucket_late,5.478886517946586,5.478886517946586,0.010083137015115096
quantity,2.489890238444753,2.489890238444753,0.010083137015115096
buyer_bucket_Mark 01,1.8359272923815095,1.8359272923815095,0.010083137015115096
time_bucket_early,1.3732929447826463,1.3732929447826463,0.010083137015115096
symbol_VEV_5500,1.1321957179696145,1.1321957179696145,0.010083137015115096
depth_1,-0.08169762157068737,0.08169762157068737,0.010083137015115096
rel_spread_bps,-0.0015355394955447923,0.0015355394955447923,0.010083137015115096
