product,component,explained_variance_ratio,cumulative_explained_variance
ASH_COATED_OSMIUM,PC1,0.18199107462135886,0.18199107462135886
ASH_COATED_OSMIUM,PC2,0.14540983637812097,0.3274009109994798
ASH_COATED_OSMIUM,PC3,0.10667878808975446,0.43407969908923427
ASH_COATED_OSMIUM,PC4,0.10382796773067395,0.5379076668199082
ASH_COATED_OSMIUM,PC5,0.08364510165787581,0.621552768477784
INTARIAN_PEPPER_ROOT,PC1,0.1937617966395509,0.1937617966395509
INTARIAN_PEPPER_ROOT,PC2,0.18152646867758182,0.3752882653171327
INTARIAN_PEPPER_ROOT,PC3,0.1057472513353264,0.48103551665245914
INTARIAN_PEPPER_ROOT,PC4,0.10376811615315239,0.5848036328056115
INTARIAN_PEPPER_ROOT,PC5,0.08984781448633344,0.6746514472919449
